Locality,Zip code,Kitchen,Type of property,Subtype of property,Price of property in euro,Type of Sale,Number of bedrooms,Living area,Terrace,Terrace area,Garden,Garden area,Surface of the land(or plot of land),Number of facades,Swimming pool,ID number,State of the building,URL
Uccle,1180.0,1.0,apartment,apartment,760000.0,,2.0,167.0,1.0,12.0,,,,2.0,,10627495.0,,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10627495
Liege,4000.0,1.0,apartment,ground floor,795000.0,,3.0,192.0,1.0,100.0,,,,2.0,,10383966.0,as new,https://www.immoweb.be/en/classified/ground-floor/for-sale/liege/4000/10383966
Uccle,1180.0,1.0,apartment,ground floor,850000.0,,3.0,170.0,1.0,230.0,1.0,200.0,,4.0,,10257545.0,good,https://www.immoweb.be/en/classified/ground-floor/for-sale/uccle/1180/10257545
Knokke-Heist,8300.0,1.0,apartment,apartment,795000.0,,2.0,72.0,1.0,,,,,2.0,,10369778.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10369778
Etterbeek,1040.0,1.0,apartment,duplex,875000.0,,2.0,187.0,1.0,25.0,,,,,,10226346.0,as new,https://www.immoweb.be/en/classified/duplex/for-sale/etterbeek/1040/10226346
Knokke-Heist,8300.0,1.0,apartment,apartment,885000.0,,3.0,71.0,1.0,,,,,2.0,,10622680.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10622680
Bruxelles,1000.0,1.0,apartment,loft,900000.0,,0.0,378.0,1.0,33.0,,,,2.0,,10593653.0,to be done up,https://www.immoweb.be/en/classified/loft/for-sale/bruxelles/1000/10593653
Knokke-Heist,8301.0,1.0,apartment,apartment,979000.0,,2.0,80.0,,,,,,,,10541587.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8301/10541587
Ixelles,1050.0,1.0,apartment,duplex,1100000.0,,3.0,165.0,1.0,26.0,,,,2.0,,10616440.0,as new,https://www.immoweb.be/en/classified/duplex/for-sale/ixelles/1050/10616440
Uccle,1180.0,1.0,apartment,apartment,920000.0,,3.0,236.0,1.0,,,,,2.0,,10449396.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10449396
Goesnes,5353.0,1.0,house,house,565000.0,,5.0,388.0,,,,,2300.0,4.0,,10667606.0,good,https://www.immoweb.be/en/classified/house/for-sale/goesnes/5353/10667606
LOYERS,5101.0,1.0,house,house,425000.0,,3.0,204.0,1.0,40.0,1.0,5000.0,5135.0,4.0,,10666290.0,,https://www.immoweb.be/en/classified/house/for-sale/loyers/5101/10666290
Uccle,1180.0,1.0,apartment,apartment,1150000.0,,3.0,165.0,1.0,50.0,1.0,350.0,,4.0,,10602414.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10602414
Uccle,1180.0,1.0,apartment,loft,985000.0,,4.0,270.0,1.0,100.0,,,,2.0,,10641710.0,as new,https://www.immoweb.be/en/classified/loft/for-sale/uccle/1180/10641710
Poperinge,8970.0,1.0,house,villa,595000.0,,5.0,308.0,1.0,9.0,,,1739.0,,,10671950.0,good,https://www.immoweb.be/en/classified/villa/for-sale/poperinge/8970/10671950
Knokke-Heist,8300.0,1.0,apartment,apartment,940000.0,,2.0,54.0,,,,,,2.0,,9214856.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/9214856
Antwerpen,2660.0,1.0,house,house,435000.0,,4.0,166.0,1.0,24.0,1.0,83.0,175.0,2.0,,10667572.0,just renovated,https://www.immoweb.be/en/classified/house/for-sale/antwerpen/2660/10667572
Zaventem Nossegem,1930.0,1.0,house,house,895000.0,,7.0,540.0,1.0,30.0,,,2700.0,4.0,,10671716.0,as new,https://www.immoweb.be/en/classified/house/for-sale/zaventem%20nossegem/1930/10671716
Rumbeke,8800.0,1.0,house,villa,845000.0,,4.0,226.0,,,,,6720.0,,,10666257.0,,https://www.immoweb.be/en/classified/villa/for-sale/rumbeke/8800/10666257
Tellin Resteigne,6927.0,,house,chalet,65000.0,,2.0,27.0,1.0,,,,307.0,4.0,,10557703.0,to renovate,https://www.immoweb.be/en/classified/chalet/for-sale/tellin%20resteigne/6927/10557703
Diksmuide,8600.0,1.0,house,house,189000.0,,3.0,142.0,,,,,292.0,,,10671928.0,good,https://www.immoweb.be/en/classified/house/for-sale/diksmuide/8600/10671928
Beauvechain,1320.0,1.0,house,mansion,599999.0,,5.0,240.0,1.0,30.0,1.0,475.0,1000.0,3.0,,10666304.0,good,https://www.immoweb.be/en/classified/mansion/for-sale/beauvechain/1320/10666304
Saint-Josse-ten-Noode,1210.0,1.0,house,house,513000.0,,3.0,,1.0,8.0,1.0,19.0,0.0,3.0,,10667611.0,just renovated,https://www.immoweb.be/en/classified/house/for-sale/saint-josse-ten-noode/1210/10667611
SAINT-GEORGES-SUR-MEUSE,4470.0,1.0,house,house,40000.0,isLifeAnnuitySale,2.0,120.0,1.0,,,,1081.0,4.0,,10553666.0,good,https://www.immoweb.be/en/classified/house/for-sale/saint-georges-sur-meuse/4470/10553666
Aiseau-Presles,6250.0,1.0,house,house,40000.0,isLifeAnnuitySale,2.0,100.0,,,,,520.0,4.0,,10453366.0,good,https://www.immoweb.be/en/classified/house/for-sale/aiseau-presles/6250/10453366
Liège,4000.0,0.0,house,house,90000.0,,2.0,131.0,,,1.0,40.0,98.0,3.0,,10632463.0,to renovate,https://www.immoweb.be/en/classified/house/for-sale/li%C3%A8ge/4000/10632463
Sprimont,4140.0,1.0,house,chalet,89000.0,isUnderOption,1.0,42.0,1.0,25.0,1.0,40.0,184.0,4.0,,10547828.0,to be done up,https://www.immoweb.be/en/classified/chalet/for-sale/sprimont/4140/10547828
Monceau-sur-Sambre,6031.0,0.0,house,house,105000.0,isUnderOption,2.0,110.0,1.0,35.0,,,85.0,2.0,,10381155.0,to be done up,https://www.immoweb.be/en/classified/house/for-sale/monceau-sur-sambre/6031/10381155
Ougrée,4102.0,0.0,house,house,85000.0,,2.0,100.0,1.0,3.0,,,0.0,3.0,,10635703.0,to renovate,https://www.immoweb.be/en/classified/house/for-sale/ougr%C3%A9e/4102/10635703
Quaregnon,7390.0,1.0,house,house,99000.0,,2.0,85.0,1.0,15.0,1.0,85.0,180.0,2.0,,10462591.0,to be done up,https://www.immoweb.be/en/classified/house/for-sale/quaregnon/7390/10462591
Couillet,6010.0,0.0,house,house,129000.0,isUnderOption,5.0,179.0,1.0,21.0,1.0,137.0,240.0,2.0,,10567445.0,to renovate,https://www.immoweb.be/en/classified/house/for-sale/couillet/6010/10567445
VILLERS-LE-TEMPLE,4550.0,0.0,house,bungalow,139500.0,isUnderOption,1.0,92.0,1.0,,,,50.0,4.0,,10597360.0,to renovate,https://www.immoweb.be/en/classified/bungalow/for-sale/villers-le-temple/4550/10597360
Trooz,4870.0,0.0,house,house,129000.0,,3.0,90.0,,,1.0,60.0,330.0,3.0,,10454977.0,to renovate,https://www.immoweb.be/en/classified/house/for-sale/trooz/4870/10454977
AMPSIN,4540.0,0.0,house,house,115000.0,isUnderOption,2.0,90.0,1.0,80.0,1.0,1250.0,1539.0,3.0,,10223743.0,to renovate,https://www.immoweb.be/en/classified/house/for-sale/ampsin/4540/10223743
MOGIMONT,6833.0,0.0,house,house,135000.0,isUnderOption,4.0,155.0,,,,,1350.0,4.0,,10340386.0,to renovate,https://www.immoweb.be/en/classified/house/for-sale/mogimont/6833/10340386
LIEGE,4000.0,1.0,house,house,130000.0,,3.0,60.0,,,,,43.0,3.0,,10489743.0,to renovate,https://www.immoweb.be/en/classified/house/for-sale/liege/4000/10489743
Trooz,4870.0,0.0,house,house,139000.0,,3.0,140.0,1.0,30.0,1.0,255.0,322.0,2.0,,10641118.0,to renovate,https://www.immoweb.be/en/classified/house/for-sale/trooz/4870/10641118
Liège,4000.0,1.0,house,mixed use building,149000.0,,2.0,157.0,,,,,64.0,3.0,,10219123.0,to renovate,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/li%C3%A8ge/4000/10219123
Trooz,4870.0,1.0,house,house,149000.0,isUnderOption,3.0,98.0,1.0,30.0,,,124.0,3.0,,10454970.0,to be done up,https://www.immoweb.be/en/classified/house/for-sale/trooz/4870/10454970
Musson,6750.0,,house,house,159000.0,,2.0,91.0,,,,,170.0,2.0,,10641770.0,to renovate,https://www.immoweb.be/en/classified/house/for-sale/musson/6750/10641770
Charleroi,6060.0,1.0,house,house,142000.0,isUnderOption,3.0,95.0,1.0,20.0,1.0,200.0,248.0,3.0,,10506669.0,to renovate,https://www.immoweb.be/en/classified/house/for-sale/charleroi/6060/10506669
Forest,1190.0,1.0,apartment,apartment,1200000.0,,3.0,315.0,,,,,,2.0,,9553014.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/9553014
Trooz,4870.0,1.0,house,house,139000.0,isUnderOption,3.0,100.0,1.0,10.0,1.0,80.0,2221.0,3.0,,10393298.0,to renovate,https://www.immoweb.be/en/classified/house/for-sale/trooz/4870/10393298
Knokke-Heist Knokke,8300.0,1.0,apartment,apartment,1995000.0,,2.0,89.0,1.0,,,,,2.0,,10541574.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist%20knokke/8300/10541574
Herstal,4040.0,1.0,house,house,159000.0,,4.0,137.0,1.0,16.0,1.0,130.0,105.0,2.0,,10622583.0,to be done up,https://www.immoweb.be/en/classified/house/for-sale/herstal/4040/10622583
Knokke-Heist,8300.0,1.0,apartment,apartment,1595000.0,,2.0,95.0,1.0,,,,,2.0,,10538127.0,good,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10538127
Knokke-Heist,8300.0,1.0,apartment,apartment,1995000.0,,4.0,141.0,1.0,,,,,4.0,,10040920.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10040920
Knokke-Heist,8300.0,1.0,apartment,apartment,1850000.0,,3.0,201.0,,,,,,3.0,1.0,10622460.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10622460
Knokke-Heist,8300.0,1.0,apartment,apartment,1995000.0,,2.0,81.0,1.0,,,,,2.0,,10538849.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10538849
Knokke-Heist,8300.0,1.0,apartment,apartment,2100000.0,,3.0,123.0,1.0,,,,,,,10639052.0,just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10639052
Knokke-Heist,8300.0,1.0,apartment,penthouse,2195000.0,,2.0,129.0,1.0,,,,,2.0,,10349006.0,as new,https://www.immoweb.be/en/classified/penthouse/for-sale/knokke-heist/8300/10349006
Knokke-Heist,8300.0,1.0,apartment,apartment,2125000.0,,3.0,117.0,1.0,,,,,2.0,,10537083.0,just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10537083
Knokke-Heist,8300.0,1.0,apartment,duplex,2990000.0,,3.0,181.0,1.0,,,,,2.0,,10157726.0,as new,https://www.immoweb.be/en/classified/duplex/for-sale/knokke-heist/8300/10157726
Knokke-Heist,8300.0,1.0,apartment,apartment,2295000.0,,3.0,110.0,1.0,,,,,2.0,,10642300.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10642300
Knokke-Heist Knokke,8300.0,,apartment,apartment,2250000.0,,2.0,97.0,1.0,13.0,,,,2.0,,10353960.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist%20knokke/8300/10353960
Knokke-Heist,8300.0,1.0,apartment,apartment,2395000.0,,3.0,108.0,1.0,,,,,2.0,,10261738.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10261738
Middelkerke,8430.0,1.0,apartment,flat studio,125000.0,,0.0,42.0,,,,,,,,10662756.0,good,https://www.immoweb.be/en/classified/flat-studio/for-sale/middelkerke/8430/10662756
Middelkerke,8430.0,1.0,apartment,apartment,425000.0,,3.0,118.0,,,,,,,,10539054.0,good,https://www.immoweb.be/en/classified/apartment/for-sale/middelkerke/8430/10539054
Ans,4430.0,1.0,apartment,apartment,190000.0,,1.0,72.0,1.0,3.0,,,,,,10667539.0,good,https://www.immoweb.be/en/classified/apartment/for-sale/ans/4430/10667539
