Raw num:,Locality,Zip code,Kitchen,Type of property,Subtype of property,Price of property in euro,Type of Sale,Number of bedrooms,Living area,Terrace,Terrace area,Garden,Garden area,Surface of the land(or plot of land),Number of facades,Swimming pool,ID number,State of the building,URL
,Dendermonde,9200,1,house,mixed use building,599000,,4,378,,,,,571,3,,10659537,to be done up,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/dendermonde/9200/10659537
,Seraing,4100,1,house,house,199000,,4,125,1,108,1,28,229,2,,10658683,good,https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/10658683
,Beersel,1650,1,house,house,495000,,3,161,1,,,,303,3,,10668883,good,https://www.immoweb.be/en/classified/house/for-sale/beersel/1650/10668883
,Waterloo,1410,1,house,house,549000,,4,207,1,25,1,230,464,3,,10657514,good,https://www.immoweb.be/en/classified/house/for-sale/waterloo/1410/10657514
,Rixensart Genval,1332,1,house,house,485000,,3,148,,,1,88,232,3,,10657583,good,https://www.immoweb.be/en/classified/house/for-sale/rixensart%20genval/1332/10657583
,Bouge,5004,1,house,house,210000,,2,83,,,1,85,166,3,,10666295,to be done up,https://www.immoweb.be/en/classified/house/for-sale/bouge/5004/10666295
,Braine-l'Alleud,1420,1,house,house,549000,,4,207,1,25,1,230,464,3,,10657515,good,https://www.immoweb.be/en/classified/house/for-sale/braine-l%27alleud/1420/10657515
,Watermael-Boitsfort,1170,1,house,house,1100000,,4,248,1,,1,60,150,2,,10658482,as new,https://www.immoweb.be/en/classified/house/for-sale/watermael-boitsfort/1170/10658482
,Gent Sint-Denijs-Westrem,9051,1,apartment,apartment,325000,,2,91,1,15,,,,2,,10669125,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/gent%20sint-denijs-westrem/9051/10669125
,Gavere,9890,1,apartment,apartment,366000,,2,126,1,11,,,,4,,10656493,as new,https://www.immoweb.be/en/classified/apartment/for-sale/gavere/9890/10656493
,Evere,1140,1,apartment,apartment,385000,,2,92,1,10,,,,2,,10670349,just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/10670349
,Gavere,9890,1,apartment,apartment,328500,,2,97,1,10,,,,4,,10656491,as new,https://www.immoweb.be/en/classified/apartment/for-sale/gavere/9890/10656491
,Gavere,9890,1,apartment,apartment,369500,,3,126,1,11,,,,4,,10656489,as new,https://www.immoweb.be/en/classified/apartment/for-sale/gavere/9890/10656489
,Embourg,4053,1,apartment,penthouse,399000,,3,145,1,20,,,,3,,10611828,good,https://www.immoweb.be/en/classified/penthouse/for-sale/embourg/4053/10611828
,Gavere,9890,1,apartment,apartment,360000,,3,111,1,10,,,,4,,10656490,as new,https://www.immoweb.be/en/classified/apartment/for-sale/gavere/9890/10656490
,Gavere,9890,1,apartment,apartment,412500,,2,165,1,11,,,,4,,10656485,as new,https://www.immoweb.be/en/classified/apartment/for-sale/gavere/9890/10656485
,Gavere,9890,1,apartment,duplex,429500,,3,148,1,11,,,,4,,10656486,as new,https://www.immoweb.be/en/classified/duplex/for-sale/gavere/9890/10656486
,Antwerp,2000,1,apartment,apartment,425000,,3,108,1,10,,,,2,,10668885,good,https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2000/10668885
,Gavere,9890,1,apartment,duplex,426000,,3,146,1,11,,,,4,,10656487,as new,https://www.immoweb.be/en/classified/duplex/for-sale/gavere/9890/10656487
,Gavere,9890,1,apartment,apartment,356000,,3,112,1,10,,,,4,,10656494,as new,https://www.immoweb.be/en/classified/apartment/for-sale/gavere/9890/10656494
